point,alpha,c
[0.77583333 0.        ],0.9969352961091643,0.045801535864244215
[0.77416667 0.        ],0.9968252132162478,0.04616035485231657
[0.7725 0.    ],0.9967108352596603,0.04652007941141273
[0.77083333 0.        ],0.9965921346861888,0.046880765073832285
[0.76916667 0.        ],0.9964691092415986,0.04724247528146543
[0.7675 0.    ],0.9963417819850784,0.047605402603788316
[0.76583333 0.        ],0.9962102012880379,0.047969602737834315
[0.76416667 0.        ],0.9960744408163563,0.04833510839817288
[0.7625 0.    ],0.9959299178465975,0.04870137671071375
[0.76083333 0.        ],0.9957763793953147,0.049068304161877525
[0.75916667 0.        ],0.9956181933284698,0.049436774197718955
[0.7575 0.    ],0.9954485171896013,0.04980570685172969
[0.75583333 0.        ],0.9952626458109443,0.050174376934003034
[0.75416667 0.        ],0.9950723095652169,0.050544981237491765
[0.7525 0.    ],0.9948688184772195,0.05091606565695314
[0.75083333 0.        ],0.9946541407274706,0.05128801587535822
[0.74916667 0.        ],0.994425552124428,0.05166055572647856
[0.7475 0.    ],0.9941832962668029,0.052033846099818655
[0.74583333 0.        ],0.9939272389908043,0.052407990405904256
[0.74416667 0.        ],0.9936568978220208,0.05278306486758284
[0.7425 0.    ],0.9933712322764318,0.053159035528396084
[0.74083333 0.        ],0.9930693032038733,0.053535894927490585
[0.73916667 0.        ],0.9927496506767761,0.05391353511880037
[0.7375 0.    ],0.9924104613875108,0.05429178752206738
[0.73583333 0.        ],0.9920496835259555,0.05467045029057267
[0.73416667 0.        ],0.991665045922121,0.05504929068787551
[0.7325 0.    ],0.9912540770764541,0.05542804755251207
[0.73083333 0.        ],0.9908141625905709,0.05580644601421438
[0.72916667 0.        ],0.9903423466276446,0.056184131370610985
[0.7275 0.    ],0.9898358517469223,0.05656083037489258
[0.72583333 0.        ],0.9892915660892045,0.056936186070393274
[0.72416667 0.        ],0.9887061984537183,0.057309802679497916
[0.7225 0.    ],0.9880764500708982,0.057681297773520164
[0.72083333 0.        ],0.987398966512853,0.05805028417041091
[0.71916667 0.        ],0.9866703593327044,0.058416374388199785
[0.7175 0.    ],0.985887227701975,0.05877925229368818
[0.71583333 0.        ],0.9850427924222763,0.05913800388638021
[0.71416667 0.        ],0.984125303696639,0.0594905371296695
[0.7125 0.    ],0.9831322097038571,0.0598367340000321
[0.71083333 0.        ],0.9820516064295075,0.060174576416251145
[0.70916667 0.        ],0.9808717555104195,0.0605020428029113
[0.7075 0.    ],0.9795856681722842,0.06081814092369338
[0.70583333 0.        ],0.9781760443258191,0.061119721496401935
[0.70416667 0.        ],0.9766308848925713,0.061404889076296036
[0.7025 0.    ],0.9749352935155731,0.06167112221824436
[0.70083333 0.        ],0.9730692019480861,0.061914738460039996
