x,y,alpha,c
0.06333333333333327,0.0,0.9997594123064072,0.012819998554450667
0.0566666666666666,0.0,0.9997691157596168,0.011471235035913695
0.04999999999999993,0.0,0.9997831805424762,0.010122585750164627
0.043333333333333265,0.0,0.9998042607019788,0.008773996544445557
0.0366666666666666,0.0,0.9998359729952108,0.007425410905146417
0.02999999999999993,0.0,0.9998743050552665,0.0060764368903495625
0.02333333333333326,0.0,0.9999288869069689,0.0047272073413825635
0.016666666666666594,0.0,1.0000269220478943,0.0033779332018675254
0.009999999999999926,0.0,1.0002180213712553,0.0020281681403129075
0.003333333333333257,0.0,1.000788318322204,0.0006774550304523036
0.6666666666666667,-0.0011111111111111111,0.6536126571638224,0.021481387058987538
0.6666666666666667,-0.003333333333333333,0.7191121846002512,0.025820676824011776
